"Timestamp","What is your gender ?","What is your marital status","Who do you stay with ?","What is your highest education level","What kind of movies do you watch ?","What is your age range","What is your country of origin?","What is your town/city/province of origin?","Where are you currently staying?","State the languages that you can speak fluently","What is your religion","What is your mood today ?","What is the current situation around you ?","Do you have mental stress ?","Are you currently studying ?","Are you expecting any upcoming event in the next two weeks ?","What is your emotional state today ?","Which location best describes where you stay ?  ","State your area of expertise(e.g art or engineering)","What is your income range per month in US$","State the model of the device that you are using to answer these questions(e.g mobile: Nokia 5, laptop: dell latitude 3340)","Sports [Sports]","Technology [Technology]","News [News]","Music [Music]","Hobbies [Hobbies]","Food [Food Types]"
"2019/02/14 3:42:24 PM GMT+2","Female","Single","Immediate Family","Professional","Documentaries;Religious;Sci-fi;comedy;Romance;Action","26-30","Zimbabwe","Masvingo","Norton","English , Shona","Christianity","envious","threatening;deceptive","Yes","Yes","No","fearful","Medium Density","Engineering","1-100","Laptop","Others","Information Technology;Science;Artificial Intelligence","Lifestyle/entertainment;Investigative News;Tech News","Gospel/religious;pop;rock;jazz;Rnb;Dance Hall;Reggae;Country;House;Electronic","Cooking;e-gaming;watching TV","Dairy products;Meat;Cereals"
"2019/02/14 4:28:40 PM GMT+2","Female","Married","Immediate Family","Tertiary","Documentaries","31-35","Zimbabwe","Harare","Westgate","English, Shona","Christianity","good","hopeful","No","Yes","Yes","Joyful","Low Density","Finance","1001-10 000","Laptop","Soccer;Tennis;Others","Information Technology;Entertainment & Media","sport news;Investigative News","Gospel/religious;pop;jazz;Rnb;Dance Hall","Cooking;reading;watching TV","Edible plants;Edible nuts and seeds;Dairy products;Eggs;Meat;Cereals"
"2019/02/14 4:42:04 PM GMT+2","Male","Single","alone","Tertiary","Documentaries;Sci-fi;comedy;Romance;Action","26-30","Zimbabwe","Bindura","Harare","Shona, English","Christianity","good","good","Yes","Yes","Yes","Joyful","High Density","engineering","101-1 000","laptop","Tennis;Swimming;Others","Information Technology;Sensors;Agriculture;Architecture;Entertainment & Media","Tech News;Business News","Gospel/religious;pop;rock;sungura;jazz;Rnb;Dance Hall;Reggae;Country;House;Electronic","Cooking;Mountain climbing;Dance Hall;watching TV","legumes;Edible plants;Edible nuts and seeds;Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/14 8:09:06 PM GMT+2","Female","Single","Mother","Tertiary","Romance","26-30","Zimbabwe","Chegutu","Mother","Shona","Christianity","good","peaceful","No","Yes","No","Joyful","Medium Density","IT","101-1 000","Laptop","Cricket","Information Technology","Lifestyle/entertainment","Gospel/religious","watching TV","Meat"
"2019/02/14 10:35:21 PM GMT+2","Male","Married","Immediate Family","Tertiary","Sci-fi;comedy;Romance","36-40","Zimbabwe","Harare","Waterfalls","Shona, English and Chewa","Christianity","good","good","No","Yes","Yes","Joyful","Medium Density","IT","1001-10 000","HP core i7, All in one","Atheletics;Soccer","Information Technology;Entertainment & Media","sport news;Lifestyle/entertainment","Gospel/religious;sungura;Rnb;Reggae","sporting;watching TV","Breads;Dairy products;Eggs;Meat"
"2019/02/15 4:58:19 AM GMT+2","Male","Married","Immediate Family;Extended family;wife and child","Professional","Religious;Sci-fi;comedy;Action","36-40","zimbabwe","Harare","harare","shona, english","Christianity","good","hopeful","Yes","Yes","Yes","Joyful","Medium Density","marketing","101-1 000","laptop dell inspiron 1500","Tennis","Information Technology","sport news;Lifestyle/entertainment;Business News","Gospel/religious;Rnb","sporting;watching TV","Dairy products;Eggs;Meat;Cereals"
"2019/02/15 8:42:53 AM GMT+2","Male","Married","Immediate Family","Professional","Documentaries","36-40","Zimbabwe","Gutu","Ngezi","English","Christianity","good","hopeful","No","Yes","Yes","Joyful","Rural","Geology","1001-10 000","Dell Precision Tower 5810","Rugby;Swimming","Information Technology;Agriculture;Artificial Intelligence","hard news;Investigative News;Tech News;Crime News;Business News","Gospel/religious;pop;Rnb;House","reading;sporting","legumes;Meat;Seafood"
"2019/02/15 9:22:53 AM GMT+2","Male","Single","Immediate Family","Tertiary","Religious;Sci-fi;comedy;Romance;Action","26-30","Zimbabwe","chinhoyi","Harare","shona , English ","Christianity","good","peaceful","No","Yes","No","Joyful","Medium Density","IT","101-1 000","","Atheletics;Soccer;Cricket","Information Technology;Energy;Agriculture;Entertainment & Media","hard news;sport news;Profiles;Investigative News;Tech News;Crime News;Business News","Gospel/religious;Rnb;Country","Cooking;Mountain climbing;reading;sporting;watching TV","legumes;Edible plants;Dairy products;Meat"
"2019/02/15 10:34:02 AM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Religious;Sci-fi;comedy;Romance;Action","26-30","Zimbabwe","Manicaland","Harare","Shona English","Christianity","good","hopeful","No","Yes","No","Joyful","Medium Density","Information Technology","1001-10 000","HP ZBOOK","Atheletics;Soccer;Swimming","Information Technology;Science;Robotics;Artificial Intelligence","hard news;sport news;Tech News;Crime News","pop;Rnb;Country","reading;watching TV","Edible nuts and seeds;Meat"
"2019/02/15 1:27:44 PM GMT+2","Female","Single","Immediate Family","Tertiary","Religious;Romance;Action","31-35","Zimbabwe","Harare","Chitungwiza","English, Shona","Christianity","good","good","No","Yes","No","Joyful","High Density","ICT","1-100","LAPTOP HP ELITEBOOK8440P","Atheletics;Swimming","Information Technology","hard news;Tech News;Business News","Gospel/religious","Cooking;reading;watching TV","Eggs;Meat"
"2019/02/15 2:23:07 PM GMT+2","Male","Single","alone","Tertiary","Religious;comedy","31-35","zimambwe","Mash East","Harare","english, shona and ndebele","Christianity","good","peaceful","No","Yes","No","Joyful","Medium Density","IT","101-1 000","laptop","Soccer","Information Technology","sport news","Gospel/religious;sungura","sporting;watching TV","legumes"
"2019/02/15 2:27:32 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Religious;comedy","46-50","Zimbabwe","Masvingo","Harare","Shona, English","Christianity","good","chaotic","No","Yes","Yes","Joyful","Medium Density","engineering","1001-10 000","HP ZBook","Atheletics;Soccer","Information Technology","hard news;sport news;Tech News;Business News","Gospel/religious;pop;rock;sungura;jazz;Rnb;Dance Hall;Reggae;Country","Mountain climbing;sporting;singing;watching TV","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals;Seafood"
"2019/02/15 2:40:08 PM GMT+2","Female","Married","Immediate Family","Professional","Documentaries;Action","26-30","Zimbabwe","Rusape","Dzivarasekwa","Shona, English","Christianity","good","peaceful","No","Yes","No","Joyful","Medium Density","Bids Management","101-1 000","","Others","Entertainment & Media","Lifestyle/entertainment;Investigative News;Crime News","Gospel/religious;jazz","Cooking;watching TV","legumes;Meat;Cereals"
"2019/02/15 2:42:03 PM GMT+2","Male","Single","Immediate Family","Tertiary","Documentaries;Sci-fi;comedy;Action","21-25","Zimbabwe","Harare","Harare","English, Shona, Ndebele, Russian","Christianity","apathetic","good","No","Yes","No","Joyful","Medium Density","Statistics","101-1 000","Dell Latitude","Rugby","Information Technology;Sensors;Energy","hard news;feature news;Tech News;Crime News;Business News","rock;jazz;Reggae;House;Electronic","reading;e-gaming","legumes;Edible plants;Breads;Meat"
"2019/02/15 4:02:32 PM GMT+2","Male","Married","Immediate Family","Tertiary","Action","36-40","Zimbabwe","Mash East","Goromonzi,Mash East ,Zimbabwe","English ,Shona","Christianity","frustrated","peaceful","No","Yes","No","sorrowful","Rural","Education","1-100","Hp laptop  250 G 6","Soccer","Information Technology","sport news","sungura","sporting","Meat"
"2019/02/15 4:18:34 PM GMT+2","Male","Married","Immediate Family","Tertiary","Action","41-45","zimbabwe","midlands","harare","english, shona, ndebele","Christianity","good","hopeful","No","Yes","No","Joyful","High Density","accounting and management","1001-10 000","laptop","Others","Information Technology","hard news","Reggae","reading","Meat"
"2019/02/15 4:56:10 PM GMT+2","Female","Married","Immediate Family","Professional","comedy","36-40","Zim","chegutu","harare","shona & English","Christianity","good","hopeful","Yes","Yes","No","fearful","Medium Density","Business Admin","101-1 000","desktop hp","Atheletics;Others","Information Technology","hard news;Lifestyle/entertainment","Gospel/religious;House","Mountain climbing;singing","Edible nuts and seeds;Meat"
"2019/02/15 5:06:25 PM GMT+2","Male","Single","Immediate Family","Professional","Documentaries;Religious;Sci-fi;comedy;Action","26-30","Zimbabwe","Kadoma","Harare","English and Shona","Christianity","good","good","No","Yes","Yes","Joyful","Low Density","Accounting and Research","101-1 000","HP Probook 430 G1","Atheletics;Soccer;Swimming","Information Technology;Entertainment & Media","hard news","Gospel/religious;pop;rock;Rnb;Dance Hall;Country","Mountain climbing;reading;fishing","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals;Seafood"
"2019/02/15 6:35:04 PM GMT+2","Female","Other","Immediate Family;Extended family","Professional","Romance;Action","36-40","zimbabwe","chitungwiza,harare","chitungwiza,harare","English","Christianity","envious;good","deceptive;hopeful","No","Yes","Yes","Joyful","Medium Density","accounting","101-1 000","","Atheletics;Soccer","Information Technology","Tech News;Business News","Gospel/religious;Country","reading;watching TV","legumes;Edible nuts and seeds"
"2019/02/16 10:07:41 AM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Action","36-40","Zimbabwe","Harare","Australia","English, SHona","Christianity","good","peaceful;hopeful","No","Yes","No","Joyful","Low Density","Information Technology","1001-10 000","MacBook Pro","Tennis","Information Technology","hard news;Tech News","Gospel/religious","Cooking;watching TV","Edible nuts and seeds;Meat;Cereals"
"2019/02/16 10:13:07 AM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Religious;Sci-fi;comedy;Romance;Action","26-30","Zimbabwe","Gweru","Watsomba","Shona","Christianity","good","threatening","Yes","Yes","Yes","Joyful","Rural","social sciences","1001-10 000","dell latitude","Soccer","Agriculture;Science","hard news;sport news;Investigative News;Tech News;Business News","sungura;Reggae","Mountain climbing;fishing","Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/17 7:57:34 AM GMT+2","Male","Single","Immediate Family","Tertiary","Documentaries","26-30","Zimbabwe","Harare","Glen View 7","Shona and English","Christianity","good","hopeful","No","Yes","Yes","Joyful","High Density","Risk ","1001-10 000","","Cricket","Energy","Business News","Gospel/religious;pop;Rnb;Country","reading;singing;watching TV","Meat"
"2019/02/17 12:56:02 PM GMT+2","Male","Married","Extended family","Tertiary","Documentaries;Religious;comedy","36-40","Zimbabwe","Mashonaland East","Chinhoyi","English, Shona","Christianity","depressed","chaotic","Yes","No","No","fearful","Medium Density","Tourism","1001-10 000","Laptop","Others","Agriculture","hard news","Gospel/religious","reading","Baked goods"
"2019/02/18 12:28:33 AM GMT+2","Male","Married","Immediate Family","Professional","Documentaries;Romance;Action","31-35","Zimbabwe","Mutoko","Harare","Shona","Christianity","good","peaceful","No","Yes","No","Joyful","Medium Density","engineering","1001-10 000","Mobile: Huawei P10, Laptop: HP 450","Atheletics","Information Technology;Artificial Intelligence","sport news;Business News","sungura;Dance Hall;Reggae;House","sporting;watching TV","Meat;Cereals"
"2019/02/18 7:32:01 AM GMT+2","Female","Single","Immediate Family","Professional","Documentaries;Religious;Sci-fi;comedy;Romance;Action","26-30","Zimbabwe","Masvingo","Norton","English , Shona","Christianity","envious","threatening;deceptive","Yes","Yes","No","fearful","Medium Density","Engineering","1-100","Laptop","Others","Information Technology;Science;Artificial Intelligence","Lifestyle/entertainment;Investigative News;Tech News","Gospel/religious;pop;rock;jazz;Rnb;Dance Hall;Reggae;Country;House;Electronic","Cooking;e-gaming;watching TV","Dairy products;Meat;Cereals"
"2019/02/18 8:35:34 AM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;comedy;Action","31-35","zimbabwe","mutare","harare","shona and english","Christianity","good","peaceful;hopeful;good","No","Yes","No","Joyful","High Density","ict","1001-10 000","laptop","Soccer;Rugby","Information Technology;Sensors;Agriculture;Architecture;Entertainment & Media;Science;Robotics;Artificial Intelligence","sport news;Lifestyle/entertainment;Tech News","Gospel/religious;pop;rock;jazz;Rnb","Cooking;fishing;sporting;watching TV","legumes;Baked goods;Dairy products;Eggs;Meat"
"2019/02/18 11:16:34 AM GMT+2","Male","Married","Immediate Family","Tertiary","Sci-fi;comedy;Action","26-30","Zimbabwe","Domboshava","Harare","Shona and English","Christianity","good","hopeful","No","Yes","Yes","Joyful","Medium Density","Information Technology","101-1 000","HP L1908w","Soccer;Others","Information Technology","sport news;Business News","Gospel/religious;sungura;Rnb","e-gaming;sporting;watching TV","Meat"
"2019/02/18 2:34:14 PM GMT+2","Male","Single","Sibling(s)","Tertiary","comedy;Romance","26-30","Zimbabwe","Harare","Harare","English and Shona","Christianity","good","hopeful","No","Yes","Yes","Joyful","Low Density","Science and Technology","1001-10 000","Desktop: Del vostro 8th Generation","Cricket","Information Technology;Sensors;Appliances;Medical Technology;Science;Robotics;Artificial Intelligence","sport news;Investigative News;Business News","House;Electronic","fishing;sporting;watching TV","Baked goods;Meat"
"2019/02/19 8:02:23 AM GMT+2","Female","Single","Immediate Family","Professional","Documentaries;Religious;Sci-fi;comedy;Romance;Action","26-30","Zimbabwe","Masvingo","Norton","English , Shona","Christianity","envious","threatening;deceptive","Yes","Yes","No","fearful","Medium Density","Engineering","1-100","Laptop","Others","Information Technology;Science;Artificial Intelligence","Lifestyle/entertainment;Investigative News;Tech News","Gospel/religious;pop;rock;jazz;Rnb;Dance Hall;Reggae;Country;House;Electronic","Cooking;e-gaming;watching TV","Dairy products;Meat;Cereals"
"2019/02/19 12:03:43 PM GMT+2","Male","Single","Extended family","Tertiary","Action","21-25","Zimbabwe","Chivhu","Chinhoyi","Shona and English","Christianity","good","hopeful","No","Yes","Yes","Joyful","High Density","Accounting","1-100","laptop","Soccer","Information Technology","sport news","Gospel/religious","e-gaming","Meat"
"2019/02/19 2:37:37 PM GMT+2","Male","Single","Immediate Family","Tertiary","comedy","21-25","Zimbabwe","Kadoma","Gweru","Midlands","Christianity","good","hopeful","Yes","Yes","No","Joyful","High Density","IT","1-100","Nokia 2630","Soccer","Information Technology","sport news;Profiles;Tech News;Business News","Gospel/religious;Dance Hall;Reggae;House","Cooking;sporting","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals;Seafood"
"2019/02/22 8:51:28 AM GMT+2","Male","Single","Extended family;Alone","Professional","Religious;Sci-fi;comedy;Action;Epic","21-25","Zimbabwe","Harare","Malawi","English, Shona","Christianity","good","hopeful;good","No","Yes","Yes","Joyful","Low Density","Software Development","101-1 000","Samsung ","Atheletics;Soccer;Others","Information Technology;Transport","hard news;sport news;Tech News;Business News","Gospel/religious;sungura;Country","Mountain climbing;e-gaming","Baked goods;Breads;Dairy products;Meat"
"2019/02/24 8:36:29 PM GMT+2","Female","Married","Immediate Family","Professional","Documentaries;comedy","36-40","Zimbabwe","Harare","Harare","Ndebele shona and english","Christianity","good","peaceful","No","Yes","No","Joyful","Low Density","It","101-1 000","Sumsung","Atheletics","Information Technology","editorial/column","Gospel/religious","Cooking","legumes;Edible plants"
"2019/02/26 9:32:42 AM GMT+2","Female","Married","Immediate Family","Tertiary","Documentaries","31-35","Zimbabwe","Chipinge Manicaland","Harare","English, Shona","Christianity","good","peaceful","No","Yes","No","Joyful","High Density","Actuarial Science","1001-10 000","Laptop","Atheletics;Soccer;Tennis;Cricket","Information Technology;Agriculture;Entertainment & Media","hard news;feature news;Lifestyle/entertainment;Investigative News;Business News","Gospel/religious;pop;Country;House","Cooking;Mountain climbing;reading;sporting;singing","legumes;Edible plants;Edible nuts and seeds;Eggs;Meat;Cereals"
"2019/02/26 1:38:05 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Sci-fi;comedy;Romance;Action","31-35","Zimbabwe","Bindura","Bindura","Shona, English","Christianity","frustrated;depressed;anger","threatening;dangerous;deceptive;chaotic","Yes","Yes","Yes","fearful;sorrowful","High Density","Computer Science","101-1 000","Probook 450 G5","Atheletics;Cricket","Information Technology;Agriculture","sport news;Investigative News;Tech News","Gospel/religious;Dance Hall;Reggae","reading;watching TV","Dairy products;Eggs;Meat"
"2019/02/28 9:13:37 AM GMT+2","Male","Married","Immediate Family","Professional","Documentaries;Religious;Sci-fi;comedy;Romance;Action;Pornographic","26-30","Zimbabwe","Harare","Harare","English, Shona, Ndebele, Setswana,isiZulu, ","Christianity","good","peaceful;hopeful;good","No","No","No","Joyful","High Density","Science and Technology","10 000 +","Tablet","Soccer;Swimming","Information Technology;Entertainment & Media;Science;Artificial Intelligence","hard news;sport news;Lifestyle/entertainment;Investigative News;Tech News;Crime News;Business News","Gospel/religious;rock;sungura;Rnb;Dance Hall;Reggae;House;Electronic","fishing;watching TV","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals;Seafood"
"2019/03/03 8:03:37 AM GMT+2","Female","Single","Immediate Family","Professional","Documentaries;Religious;Sci-fi;comedy;Romance;Action","26-30","Zimbabwe","Masvingo","Norton","English , Shona","Christianity","envious","threatening;deceptive","Yes","Yes","No","fearful","Medium Density","Engineering","1-100","Laptop","Others","Information Technology;Science;Artificial Intelligence","Lifestyle/entertainment;Investigative News;Tech News","Gospel/religious;pop;rock;jazz;Rnb;Dance Hall;Reggae;Country;House;Electronic","Cooking;e-gaming;watching TV","Dairy products;Meat;Cereals"
"2019/03/05 1:01:40 PM GMT+2","Male","Married","Extended family","Tertiary","Documentaries;Sci-fi;Romance;Action","36-40","Zimbabwe","Masvingo","Harare","English and Shona","Christianity","good","deceptive","No","Yes","No","Joyful","Medium Density","ICT","101-1 000","HP Envy 15t","Atheletics;Soccer;Tennis;Cricket","Information Technology;Entertainment & Media;Art & Music;Science;Artificial Intelligence","sport news;Lifestyle/entertainment;Tech News","Gospel/religious;sungura;jazz;Reggae;Country","reading;sporting;watching TV","Dairy products;Meat;Cereals;Seafood"
"2019/03/06 7:05:12 PM GMT+2","Male","Single","Alone","Tertiary","Documentaries;Religious;Sci-fi;comedy;Romance;Action","26-30","Zimbabwe","Chinhoyi","Johannesburg","English and Shona","Christianity","good","hopeful;good","Yes","No","No","Joyful;fearful","Low Density","Software Engineering","1001-10 000","mobile: Samsung, laptop Dell latitude","Atheletics;Cricket;Others","Information Technology;Sensors;Architecture;Art & Music;Artificial Intelligence","hard news;Tech News;Business News","Gospel/religious;Electronic","e-gaming","Dairy products;Eggs;Meat;Cereals"
"2019/03/07 8:14:12 PM GMT+2","Female","Single","Immediate Family","Professional","Documentaries;Religious;Sci-fi;comedy;Romance;Action","26-30","Zimbabwe","Masvingo","Norton","English , Shona","Christianity","envious","threatening;deceptive","Yes","Yes","No","fearful","Medium Density","Engineering","1-100","Laptop","Others","Information Technology;Science;Artificial Intelligence","Lifestyle/entertainment;Investigative News;Tech News","Gospel/religious;pop;rock;jazz;Rnb;Dance Hall;Reggae;Country;House;Electronic","Cooking;e-gaming;watching TV","Dairy products;Meat;Cereals"
"2019/03/08 12:20:30 AM GMT+2","Male","Married","Immediate Family","Professional","Documentaries","41-45","Zimbabwe ","Gokwe","Uk","Shona ","Christianity","depressed","peaceful","Yes","No","Yes","fearful","Low Density","Accounting ","1001-10 000","Samsung s9","Soccer","Information Technology","sport news","pop","Mountain climbing","Edible nuts and seeds"
"2019/03/09 8:59:39 AM GMT+2","Male","Married","Immediate Family","Tertiary","Action","26-30","zimbabwe","mashonaland west","harare","english shona","Christianity","good","hopeful","No","Yes","No","Joyful","Medium Density","ICT","101-1 000","LAPTOP","Soccer","Information Technology","hard news;sport news","Gospel/religious;sungura;Rnb;Dance Hall","watching TV","Meat"
"2019/03/12 11:39:05 AM GMT+2","Male","Single","Immediate Family","Secondary","Action","21-25","Zim","chinhoyi","home","shona","Muslim","apathetic","threatening","Yes","Yes","Yes","Joyful","Low Density","art","101-1 000","huweai","Atheletics","Information Technology","hard news","Gospel/religious","Cooking","legumes"
"2019/03/12 11:41:13 AM GMT+2","Male","Single","Immediate Family","Secondary","Action","21-25","Zim","chinhoyi","home","shona","Muslim","apathetic","threatening","Yes","Yes","Yes","Joyful","Low Density","art","101-1 000","huweai","Atheletics","Information Technology","hard news","Gospel/religious","Cooking","legumes"
"2019/03/12 11:43:02 AM GMT+2","Male","Single","Immediate Family","Tertiary","Sci-fi;comedy;Action","21-25","Zimbabwe","Bindura","Harare","English, Shon","Christianity","good","hopeful","No","Yes","Yes","Joyful","Medium Density","commercials","1-100","HP AIO Desktop","Atheletics;Soccer;Others","Information Technology;Transport;Agriculture;Entertainment & Media","editorial/column;Lifestyle/entertainment;Investigative News","Gospel/religious;sungura;Dance Hall","reading;Dance Hall;watching TV","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals"
"2019/03/12 1:12:50 PM GMT+2","Male","Single","Immediate Family;Sibling(s)","Secondary","Documentaries;Sci-fi;comedy;Action","21-25","Zimbabwe","Harare","Harare","Shona, English","Christianity","envious;depressed;good","deceptive;peaceful;hopeful;good","Yes","Yes","No","fearful","High Density","engineering","1-100","dell latitude","Soccer;Swimming;Others","Information Technology;Sensors;Transport;Agriculture;Entertainment & Media","hard news;Lifestyle/entertainment;Investigative News;Tech News","Gospel/religious;Rnb;Dance Hall;Country","reading;e-gaming;watching TV","Dairy products;Eggs;Meat;Cereals;Seafood"
"2019/03/12 1:30:45 PM GMT+2","Female","Married","Immediate Family","Tertiary","Documentaries;Religious;comedy","31-35","Zimbabwe","Mashonaland East","Marondera","Shona and English","Christianity","good","peaceful","No","Yes","Yes","Joyful","Medium Density","Business","101-1 000","laptop","Others","Information Technology;Entertainment & Media","Lifestyle/entertainment;Business News","Gospel/religious","reading;watching TV","legumes;Edible nuts and seeds;Baked goods;Dairy products;Eggs;Meat;Cereals"
"2019/03/12 2:02:01 PM GMT+2","Female","Single","Immediate Family","Tertiary","Documentaries;Religious;Sci-fi;Action","21-25","Zimbabwe","Mashonaland east","Chinhoyi","English","Christianity","good","peaceful","No","Yes","No","Joyful","Medium Density","Information Technology","","Hp probook 450 g2 laptop","Cricket","Information Technology;Sensors;Architecture;Art & Music;Appliances;Science;Robotics;Artificial Intelligence","Tech News;Business News","Gospel/religious;pop;jazz;Rnb;Electronic","Cooking;watching TV","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Eggs;Meat;Cereals;Seafood"
"2019/03/12 5:07:19 PM GMT+2","Male","Single","Immediate Family","Tertiary","Romance;Action","15-20","Zimbabwe ","Harare ","Harare ","Shona, English ","Christianity","depressed;good","peaceful;hopeful;good","No","Yes","No","Joyful","High Density","Engineering ","1-100","Mobile: Samsung young laptop: hp 255","Others","Information Technology;Clothing & Accessories;Medical Technology;Artificial Intelligence","Lifestyle/entertainment;Tech News","Dance Hall;House","Dance Hall;watching TV","Baked goods;Meat"
"2019/03/12 6:07:42 PM GMT+2","Male","Single","Immediate Family","Tertiary","Documentaries;comedy;Action","21-25","Zimbabwe","Mashonaland East","Marondera","Shona and English","Christianity","envious","good","No","Yes","No","Joyful","Medium Density","engineering","1-100","laptop","Soccer","Entertainment & Media","Lifestyle/entertainment","Rnb","singing","Meat"
"2019/03/12 6:19:10 PM GMT+2","Male","Single","Immediate Family","Tertiary","comedy","15-20","Zimbabwe","Gwere","Harare","Shona and English","Christianity","depressed","hopeful","Yes","Yes","No","sorrowful","Medium Density","Science(Computer Science)","1-100","laptop: hp probook","Soccer","Information Technology","Tech News","Rnb","watching TV","Baked goods;Cereals"
"2019/03/12 10:03:19 PM GMT+2","Female","Single","Immediate Family","Tertiary","Action","21-25","Zimbabwe","Gokwe","Chinhoyi","Shona and English","Christianity","good","peaceful","No","Yes","No","Joyful","High Density","Engineering","1-100","Gtel X5 plus","Swimming","Information Technology","Investigative News","House","watching TV","Meat"
"2019/03/13 2:37:16 AM GMT+2","Female","Single","Friend(s)","Tertiary","comedy;cartoon movies","15-20","ZIMBABWE","HARARE","CHINHOYI","SHONA","Christianity","bad","dangerous","No","Yes","No","fearful","Medium Density","ENGINEERING","1001-10 000","laptop: accer Aspire ES1-531","Swimming","Information Technology","Lifestyle/entertainment","Gospel/religious;pop;Rnb;House","singing;watching TV","Dairy products;Meat;Cereals"
"2019/03/13 7:34:21 AM GMT+2","Female","Single","Immediate Family","Tertiary","Documentaries;Religious;Sci-fi;Action","21-25","Zimbabwe","Mashonaland east","Chinhoyi","English","Christianity","good","peaceful","No","Yes","No","Joyful","Medium Density","Information Technology","","Hp probook 450 g2 laptop","Cricket","Information Technology;Sensors;Architecture;Art & Music;Appliances;Science;Robotics;Artificial Intelligence","Tech News;Business News","Gospel/religious;pop;jazz;Rnb;Electronic","Cooking;watching TV","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Eggs;Meat;Cereals;Seafood"
"2019/03/13 8:28:01 AM GMT+2","Male","Single","Immediate Family","Tertiary","Documentaries;Sci-fi;comedy;Romance","21-25","Zimbabwe","Harare","Chinhoyi","English and Shona","Christianity","depressed","good","Yes","Yes","Yes","Joyful;sorrowful","High Density","programming","1-100","desktop: Acer","Atheletics;Rugby;Tennis","Information Technology;Entertainment & Media;Artificial Intelligence","sport news;Profiles;Tech News","Gospel/religious;sungura;Dance Hall","e-gaming;sporting;watching TV","legumes;Edible plants;Meat"
"2019/03/13 8:34:31 AM GMT+2","Male","Single","Immediate Family","Tertiary","Action","21-25","Zimbabwe","Mutare","Harare","Shona","Christianity","good","hopeful","Yes","Yes","No","fearful","Medium Density","Computing","1-100","laptop","Soccer","Information Technology","sport news","sungura","sporting","Eggs"
"2019/03/13 9:42:58 AM GMT+2","Male","Single","Immediate Family","Tertiary","Documentaries;Action","21-25","Zimbabwe","Kadoma","Kadoma","English, Shona","Christianity","good","hopeful","No","Yes","Yes","Joyful","High Density","Engineering","1-100","Dell latitude e6330","Rugby;Swimming;Cricket;Others","Information Technology","hard news;sport news;Tech News;Business News","Gospel/religious;House","reading;e-gaming","Baked goods;Dairy products;Meat"
"2019/03/13 12:41:02 PM GMT+2","Male","Single","Immediate Family","Tertiary","Documentaries;Religious;Sci-fi;comedy;Romance;Action","21-25","Zimbabwe","Mutare,Zimbabwe","Chinhoyi,zimbabwe","English,Shona","Christianity","good","chaotic","No","No","No","Joyful","Low Density","Programming","1-100","HP 255","Cricket;Others","Information Technology;Entertainment & Media","feature news;Lifestyle/entertainment;Tech News","Gospel/religious;sungura;Rnb;Country;House;Electronic","Cooking;e-gaming;singing;watching TV","Baked goods;Dairy products;Meat"
"2019/03/13 3:49:17 PM GMT+2","Male","Married","Immediate Family","Tertiary","Religious","26-30","Zimbabwe","Kadoma","Chegutu","English","Christianity","good","peaceful","No","Yes","Yes","Joyful","Low Density","Engineering","101-1 000","Itel","Soccer","Information Technology","sport news","Gospel/religious","Cooking","Edible nuts and seeds"
"2019/03/13 7:46:37 PM GMT+2","Female","Single","Friend(s)","Secondary","Religious;Sci-fi;comedy;Romance;Action","21-25","Zimbabwe","Masvingo","harare","shona,english","Christianity","depressed","good","No","Yes","No","sorrowful","Medium Density","engineering","1-100","laptop:dell","Others","Information Technology","sport news","Gospel/religious;pop;rock;jazz;Rnb;Dance Hall","watching TV","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals;Seafood"
"2019/03/13 9:46:25 PM GMT+2","Female","Single","Immediate Family","Tertiary","Sci-fi;comedy","15-20","Zimbabwe","mutoko","BSIT","shona and english","Christianity","good","peaceful","No","Yes","No","Joyful","Medium Density","engineering","1-100","laptop hp 250 5g notebook pc","Others","Information Technology;Entertainment & Media;Art & Music;Clothing & Accessories;Medical Technology","Lifestyle/entertainment;Investigative News;Tech News;Crime News","pop;Rnb;House","Cooking;reading;watching TV","Dairy products;Meat;Cereals"
